[22:42:09.022] [INFO] [ENGINE] Monolith starting up!
[22:42:09.318] [INFO] [ENGINE] Uploaded texture: sandbox/assets/a.png (360x360, 3 channels)
[22:42:09.318] [INFO] [ENGINE] Uploaded texture: sandbox/assets/b.png (16x16, 3 channels)
[22:42:09.642] [INFO] [ENGINE] Uploaded texture: sandbox/assets/tileset.png (256x256, 4 channels)
[22:42:09.729] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.729] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.729] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.729] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.729] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.729] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.729] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.729] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.729] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.729] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.729] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.729] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.729] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.729] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.729] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.738] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.738] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.738] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.738] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.757] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.768] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.787] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.806] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.816] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.836] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.857] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.867] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.896] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.907] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.916] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.936] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.957] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.967] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:09.987] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:10.007] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:10.017] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:10.037] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:10.057] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:10.067] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:10.086] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:10.106] [INFO] [APP] Collision detected between entity 2 and 1
[22:42:10.117] [INFO] [APP] Collision detected between entity 2 and 1
